Entity,Code,Year,"Suicide mortality rate per 100,000 population",Continent
Senegal,SEN,2008,6.8,Africa
Sierra Leone,SLE,2008,6.5,Africa
South Africa,ZAF,2008,26.7,Africa
Tanzania,TZA,2008,5.8,Africa
Togo,TGO,2008,10.8,Africa
Uganda,UGA,2008,7.1,Africa
Zambia,ZMB,2008,9.7,Africa
Zimbabwe,ZWE,2008,20.1,Africa
Burundi,BDI,2009,7.7,Africa
Cameroon,CMR,2009,11.1,Africa
Chad,TCD,2009,7.6,Africa
Comoros,COM,2009,5,Africa
Djibouti,DJI,2009,7.8,Africa
Egypt,EGY,2009,3.1,Africa
Ghana,GHA,2009,7.6,Africa
Kenya,KEN,2009,6,Africa
Malawi,MWI,2009,8,Africa
Mali,MLI,2009,4.6,Africa
Mauritania,MRT,2009,3.1,Africa
Niger,NER,2009,5.3,Africa
Nigeria,NGA,2009,4.5,Africa
Rwanda,RWA,2009,7,Africa
Senegal,SEN,2009,6.7,Africa
South Africa,ZAF,2009,26.7,Africa
Sudan,SDN,2009,4.1,Africa
Tanzania,TZA,2009,5.5,Africa
Tunisia,TUN,2009,3.5,Africa
Uganda,UGA,2009,6.8,Africa
Zambia,ZMB,2009,9.8,Africa
Zimbabwe,ZWE,2009,22.2,Africa
Algeria,DZA,2010,3,Africa
Botswana,BWA,2010,24.4,Africa
Cameroon,CMR,2010,10.8,Africa
Central African Republic,CAF,2010,15.8,Africa
Chad,TCD,2010,7.7,Africa
Comoros,COM,2010,5.6,Africa
Djibouti,DJI,2010,8.2,Africa
Egypt,EGY,2010,3.2,Africa
Ghana,GHA,2010,7.8,Africa
Kenya,KEN,2010,6,Africa
Liberia,LBR,2010,4.9,Africa
Mali,MLI,2010,4.5,Africa
Mauritania,MRT,2010,3.1,Africa
Morocco,MAR,2010,9.2,Africa
Niger,NER,2010,5.3,Africa
Nigeria,NGA,2010,4.4,Africa
Senegal,SEN,2010,6.6,Africa
Sierra Leone,SLE,2010,6.8,Africa
South Africa,ZAF,2010,24.6,Africa
Sudan,SDN,2010,4,Africa
Tanzania,TZA,2010,5,Africa
Tunisia,TUN,2010,3.5,Africa
Uganda,UGA,2010,6.3,Africa
Zimbabwe,ZWE,2010,21.5,Africa
Algeria,DZA,2011,3,Africa
Angola,AGO,2011,6.6,Africa
Benin,BEN,2011,8.5,Africa
Botswana,BWA,2011,22.7,Africa
Burundi,BDI,2011,7.4,Africa
Cameroon,CMR,2011,10.8,Africa
Central African Republic,CAF,2011,15.4,Africa
Chad,TCD,2011,7.7,Africa
Comoros,COM,2011,5.1,Africa
Congo,COG,2011,8.7,Africa
Djibouti,DJI,2011,8.5,Africa
Egypt,EGY,2011,3.3,Africa
Gabon,GAB,2011,10,Africa
Ghana,GHA,2011,7.8,Africa
Guinea,GIN,2011,7,Africa
Kenya,KEN,2011,5.9,Africa
Lesotho,LSO,2011,69.5,Africa
Madagascar,MDG,2011,5.7,Africa
Malawi,MWI,2011,7.3,Africa
Mali,MLI,2011,4.5,Africa
Mauritania,MRT,2011,3,Africa
Mauritius,MUS,2011,9,Africa
Morocco,MAR,2011,9.2,Africa
Mozambique,MOZ,2011,15.3,Africa
Niger,NER,2011,5.4,Africa
Rwanda,RWA,2011,6.2,Africa
Senegal,SEN,2011,6.5,Africa
Sierra Leone,SLE,2011,6.5,Africa
South Africa,ZAF,2011,22.4,Africa
Sudan,SDN,2011,4.1,Africa
Tanzania,TZA,2011,4.8,Africa
Togo,TGO,2011,10.4,Africa
Tunisia,TUN,2011,3.4,Africa
Uganda,UGA,2011,6.3,Africa
Zambia,ZMB,2011,10.3,Africa
Zimbabwe,ZWE,2011,20.7,Africa
Algeria,DZA,2012,2.9,Africa
Angola,AGO,2012,6.9,Africa
Benin,BEN,2012,8.3,Africa
Botswana,BWA,2012,22.6,Africa
Cameroon,CMR,2012,10.6,Africa
Chad,TCD,2012,7.6,Africa
Comoros,COM,2012,5.2,Africa
Congo,COG,2012,8.9,Africa
Egypt,EGY,2012,3.4,Africa
Ethiopia,ETH,2012,6.1,Africa
Gabon,GAB,2012,8.9,Africa
Ghana,GHA,2012,7.8,Africa
Guinea,GIN,2012,7.1,Africa
Kenya,KEN,2012,5.9,Africa
Libya,LBY,2012,5.7,Africa
Madagascar,MDG,2012,5.6,Africa
Malawi,MWI,2012,6.8,Africa
Mali,MLI,2012,4.5,Africa
Mauritania,MRT,2012,3.1,Africa
Morocco,MAR,2012,8.9,Africa
Niger,NER,2012,5.5,Africa
Nigeria,NGA,2012,4.2,Africa
Rwanda,RWA,2012,6,Africa
Senegal,SEN,2012,6.5,Africa
South Africa,ZAF,2012,22.9,Africa
Sudan,SDN,2012,4,Africa
Tanzania,TZA,2012,4.3,Africa
Tunisia,TUN,2012,3.4,Africa
Uganda,UGA,2012,5.7,Africa
Zambia,ZMB,2012,9.4,Africa
Zimbabwe,ZWE,2012,19.7,Africa
Angola,AGO,2013,6.9,Africa
Benin,BEN,2013,8.3,Africa
Botswana,BWA,2013,21.6,Africa
Cameroon,CMR,2013,10.4,Africa
Chad,TCD,2013,7.4,Africa
Congo,COG,2013,8.2,Africa
Egypt,EGY,2013,3.4,Africa
Ethiopia,ETH,2013,5.7,Africa
Gabon,GAB,2013,8.6,Africa
Ghana,GHA,2013,7.7,Africa
Guinea,GIN,2013,7.3,Africa
Kenya,KEN,2013,5.9,Africa
Madagascar,MDG,2013,5.6,Africa
Malawi,MWI,2013,6.4,Africa
Mali,MLI,2013,4.5,Africa
Mauritania,MRT,2013,3.1,Africa
Morocco,MAR,2013,8,Africa
Niger,NER,2013,5.5,Africa
Nigeria,NGA,2013,4.1,Africa
Rwanda,RWA,2013,5.8,Africa
